State,2021Tornadoes,2021Fatalities,2020Tornadoes,2020Fatalities,2019Tornadoes,2019Fatalities,2018Tornadoes,2018Fatalities,2017Tornadoes,2017Fatalities
Alabama,100,7,78,5,95,25,52,0,65,0
Alaska,0,0,0,0,0,0,0,0,0,0
Arizona,6,0,4,0,10,0,6,0,3,0
Arkansas,41,2,41,0,31,0,33,1,26,0
California,5,0,7,0,16,0,6,0,2,0
Colorado,48,0,34,0,53,0,39,0,20,0
Connecticut,8,0,6,0,1,0,8,0,0,0
Delaware,2,0,7,0,1,0,0,0,1,0
D.C.,2,0,0,0,0,0,0,0,1,0
Florida,32,0,65,0,25,0,48,0,41,0
Georgia,57,0,75,9,60,0,21,0,131,16
Hawaii,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,5,0,11,0,1,0
Illinois,80,6,71,0,37,0,64,0,65,3
Indiana,19,0,39,0,39,0,16,0,36,0
Iowa,70,0,28,0,53,1,84,0,57,0
Kansas,46,0,27,0,127,0,45,0,74,0
Kentucky,57,73,23,0,28,0,41,1,29,0
Louisiana,50,1,55,5,97,3,86,1,88,3
Maine,0,0,2,0,1,0,0,0,10,0
Maryland,11,0,21,0,6,0,2,2,4,0
Massachusetts,7,0,3,0,3,0,7,0,2,0
Michigan,17,0,2,0,6,0,13,0,11,0
Minnesota,37,0,69,1,54,0,36,0,41,0
Mississippi,92,1,127,12,138,2,68,0,81,5
Missouri,50,2,27,0,98,3,48,1,102,1
Montana,1,0,2,0,6,0,10,0,2,0
Nebraska,53,0,35,0,44,0,37,0,38,0
Nevada,3,0,0,0,1,0,4,0,0,0
New Hampshire,0,0,0,0,0,0,3,0,0,0
New Jersey,13,0,9,0,9,0,0,0,2,0
New Mexico,18,0,21,0,21,0,10,0,11,0
New York,14,0,10,0,4,0,11,1,12,0
North Carolina,19,3,54,2,59,0,41,0,34,0
North Dakota,21,0,22,0,14,0,31,1,41,0
Ohio,37,0,19,0,59,1,17,0,43,0
Oklahoma,39,0,31,2,99,0,24,0,62,1
Oregon,0,0,3,0,4,4,3,0,3,0
Pennsylvania,44,1,6,0,34,0,31,0,26,0
Rhode Island,2,0,0,0,1,0,1,0,0,0
South Carolina,24,0,57,8,18,0,16,0,51,1
South Dakota,19,0,21,1,23,0,19,0,21,0
Tennessee,66,4,38,27,16,0,20,1,35,0
Texas,118,1,102,4,188,2,52,0,176,4
Utah,4,0,0,0,0,0,2,0,0,0
Vermont,2,0,0,0,1,0,0,0,0,0
Virginia,9,0,15,0,24,0,34,1,23,0
Washington,2,0,2,0,2,0,2,0,3,0
West Virginia,2,0,0,0,3,0,1,0,5,0
Wisconsin,28,0,22,0,32,0,35,0,28,1
Wyoming,2,0,1,0,30,0,31,0,15,0