,Unnamed: 0,0,seg
0,0,鎖定低軌商機，TI 擴大航太級產品組合,"['鎖定', '低軌商機', '擴大', '航太級', '產品', '組合']"
1,1,朝 7 奈米研發設計！巨有科技 11/30 以底價 36.17 元競拍,"['奈米', '研發', '設計', '巨有', '以底價', '競拍', '科技']"
2,2,SiPearl 當前不看好 RISC-V 架構應用高效能運算，對中國期待澆冷水,"['當前', '架構', '應用', '運算', '中國', '高效能', '冷水', '期待', '看好']"
3,3,布局智慧工廠有成，友達獲德國 ROI-EFESO 工業 4.0 大獎,"['工廠', '友達', '獲德國', '工業', '大獎', '有成', '智慧', '布局']"
4,4,睡眠檢測準確率 9 成！台大健管中心攜安克生醫揪「呼吸中止症」,"['檢測準', '確率', '健管', '攜安克', '生醫', '台大', '中止', '睡眠', '呼吸', '中心']"
5,5,台中電廠清晨傳出火警，台電：供電不受影響,"['電廠', '傳出', '台電', '供電不受', '影響', '火警', '台中', '清晨']"
6,6,異次元寬鬆來首見，日銀持有的 JGB 出現帳面虧損,"['異次', '日銀', '出現', '帳面', '虧損', '持有']"
7,7,中國擴大防疫封控，主要城市開始攔查兩個手機 App,"['中國', '擴大', '封控', '開始', '攔查', '兩個', '手機', '防疫', '城市', '主要']"
8,8,Google Play 提供 App 歸檔功能：可部分移除應用，釋放手機空間,"['移除', '歸檔', '應用', '機空間', '放手', '功能', '提供', '部分']"
9,9,揭開能源「大黑箱」：台電如何計算一度電產生多少二氧化碳？,"['揭開', '台電', '計算', '電產生', '黑箱', '二氧化碳', '一度', '能源', '多少', '如何']"
10,10,外派工程師赴美遭指掏空人才，台積電：沒這疑慮,"['遭指', '台積電', '這疑慮', '外派', '掏空', '赴美', '人才', '工程']"
11,11,白紙革命爆發導致 iPhone 供貨更不穩定，蘋果市值已蒸發近千億美元,"['白紙', '爆發導致', '供貨', '穩定', '蘋果', '已蒸', '發近', '千億', '市值', '革命', '美元']"
12,12,美國食品藥物管理局首度核准培養肉可供食用,"['美國', '藥物', '培養', '首度', '管理局', '核准', '可供', '食用', '食品']"
13,13,全球政府盯上蘋果與 Google「雙頭壟斷」手機市場問題，寡占企業高額抽成暴利會被撼動嗎？,"['抽成', '蘋果', '雙頭', '壟斷', '手機', '市場', '問題', '寡占', '企業', '高額', '撼動', '盯上', '暴利', '全球', '政府']"
14,14,英國加強打擊 Deepfake 色情影片，未經同意分享將犯刑法罪,"['英國', '加強', '打擊', '未經', '將犯', '色情', '刑法', '分享', '影片', '同意']"
15,15,台灣 2023 年製造業產值估成長 3.24%，半導體產業提早達成 5 兆元產值目標,"['台灣', '估成', '.%', '半導', '體產業', '達成', '兆元產值', '目標', '提早']"
16,16,擴大營運版圖！伸興子公司喜佳首家手作空間中壢開幕,"['擴大營', '運版圖', '伸興', '喜佳', '手作', '空間', '中壢', '開幕', '首家', '子公司']"
17,17,蘋果抽廣告 Twitter 有多痛？,"['蘋果', '抽廣告', '有多痛']"
18,18,"獲 3,000 萬澳幣 B 輪融資，摩爾斯微電子加速拓展 Wi-Fi HaLow 市場","['萬澳幣', '輪融資', '摩爾斯微', '電子', '市場', '拓展', '加速']"
19,19,看好亞馬遜獲利更上一層樓，小摩列 2023 年首選股,"['亞馬遜', '獲利', '一層', '小摩列', '選股', '年首', '看好']"
20,20,"Sony PS VR2、Meta Quest 3 新品助攻，估 2023 年全球 VR 裝置出貨量達 1,035 萬台","['裝置', '出貨量', '萬台', '助攻', '新品', '全球']"
21,21,Oceanic+ App 終於登陸 Apple Watch Ultra，帶來潛水電腦體驗,"['終於登陸', '帶來', '潛水', '電腦', '體驗']"
22,22,後疫情時代 IBM 數十億元投資台灣，高雄設軟體科技整合服務中心,"['時代', '數十億元', '投資', '台灣', '高雄設', '軟體', '服務', '疫情', '整合', '科技', '中心']"
23,23,更環保、更便宜的電池零件，把廢紙變成碳陽極,"['環保', '電池', '廢紙', '變成', '碳陽極', '零件', '便宜']"
24,24,iPhone 15 相機大幅升級，Sony 感測器有望改善成像品質,"['相機', '升級', '感測器', '品質', '成像', '改善', '有望', '大幅']"
25,25,電話掛號不用再轉接！長庚醫院推 24小時雙向 AI 智能客服,"['電話', '掛號', '轉接', '醫院', '小時', '雙向', '客服', '智能', '不用']"
26,26,假帳號問題企圖掩蓋中國抗爭消息，Twitter 更痛失半數主要廣告商,"['帳號', '問題', '企圖', '掩蓋', '中國', '抗爭', '半數', '廣告商', '痛失', '消息', '主要']"
27,27,南方天空 2 個星系暴力合併，撞出罕見星環,"['出罕見', '星環', '星系', '暴力', '天空', '南方']"
28,28,不甩罷工南韓下行政命令，強制水泥卡車司機開工,"['罷工南', '韓下', '強制', '卡車', '司機', '開工', '行政命令', '水泥']"
29,29,聯亞藥愛滋病新複方新藥！完成生體試驗將申請上市,"['聯亞藥', '愛滋病', '方新藥', '生體', '試驗將', '申請', '完成', '上市']"
30,30,聯亞藥愛滋病新複方新藥！完成生體試驗將申請上市,"['聯亞藥', '愛滋病', '方新藥', '生體', '試驗將', '申請', '完成', '上市']"
31,31,湧入強勁買盤！富邦越南 ETF 第四次追加募集獲准,"['湧入', '強勁', '買盤', '富邦', '獲准', '第四次', '追加', '越南', '募集']"
32,32,特斯拉新廠落腳南韓？尹錫悅：將有專屬獎勵措施,"['新廠', '落腳', '南韓', '尹錫悅', '將有', '專屬', '獎勵', '特斯拉', '措施']"
33,33,美國年輕世代最期待的 Toyota 電動車：Tacoma EV,"['美國', '電動車', '世代', '期待']"
34,34,開工五年，英軍首艘 26 型巡防艦連下水儀式都很緩慢,"['開工', '艦連', '儀式', '緩慢', '首艘', '巡防', '下水', '五年']"
35,35,威脅下架 Twitter，馬斯克辦投票要蘋果公布審查機制,"['威脅', '下架', '斯克辦', '蘋果', '審查', '機制', '投票', '公布']"
36,36,IC Insights 估 2023 年半導體營收降 5%，後續 3 年回升,"['年半導', '體營', '收降', '回升']"
37,37,鎖定低軌商機，TI 擴大航太級產品組合,"['鎖定', '低軌商機', '擴大', '航太級', '產品', '組合']"
38,38,朝 7 奈米研發設計！巨有科技 11/30 以底價 36.17 元競拍,"['奈米', '研發', '設計', '巨有', '以底價', '競拍', '科技']"
39,39,SiPearl 不看好 RISC-V 架構應用高效能運算，澆中國冷水,"['架構', '應用', '運算', '澆中國', '高效能', '冷水', '看好']"
40,40,布局智慧工廠有成，友達獲德國 ROI-EFESO 工業 4.0 大獎,"['工廠', '友達', '獲德國', '工業', '大獎', '有成', '智慧', '布局']"
41,41,睡眠檢測準確率九成！台大健管中心攜安克生醫揪「呼吸中止症」,"['檢測準', '確率', '健管', '攜安克', '生醫', '九成', '台大', '中止', '睡眠', '呼吸', '中心']"
42,42,台中電廠清晨傳出火警，台電：供電不受影響,"['電廠', '傳出', '台電', '供電不受', '影響', '火警', '台中', '清晨']"
43,43,異次元寬鬆來首見，日銀持有的 JGB 出現帳面虧損,"['異次', '日銀', '出現', '帳面', '虧損', '持有']"
44,44,中國擴大防疫封控，主要城市開始攔查兩個手機 App,"['中國', '擴大', '封控', '開始', '攔查', '兩個', '手機', '防疫', '城市', '主要']"
45,45,揭開能源「大黑箱」：台電如何計算一度電產生多少二氧化碳？,"['揭開', '台電', '計算', '電產生', '黑箱', '二氧化碳', '一度', '能源', '多少', '如何']"
46,46,外派工程師赴美遭指掏空人才，台積電：沒這疑慮,"['遭指', '台積電', '這疑慮', '外派', '掏空', '赴美', '人才', '工程']"
47,47,白紙革命爆發導致 iPhone 供貨更不穩定，蘋果市值蒸發近千億美元,"['白紙', '爆發導致', '供貨', '穩定', '蘋果', '蒸發', '近千億', '市值', '革命', '美元']"
48,48,美國食品藥物管理局首度核准培養肉可供食用,"['美國', '藥物', '培養', '首度', '管理局', '核准', '可供', '食用', '食品']"
49,49,全球政府盯上蘋果與 Google「雙頭壟斷」手機市場問題，寡占企業高額抽成暴利會被撼動嗎？,"['抽成', '蘋果', '雙頭', '壟斷', '手機', '市場', '問題', '寡占', '企業', '高額', '撼動', '盯上', '暴利', '全球', '政府']"
50,50,英國加強打擊 Deepfake 色情影片，未經同意分享將犯刑法罪,"['英國', '加強', '打擊', '未經', '將犯', '色情', '刑法', '分享', '影片', '同意']"
51,51,全球摺疊式手機發展趨勢分析,"['疊式', '手機', '發展', '趨勢', '全球', '分析']"
52,52,「Fula 付啦」來了！中國信託資融進軍先買後付市場,"['中國信', '資融', '進軍先', '買後付', '市場']"
53,53,mRNA 流感疫苗重大突破！可對抗 20 種已知病毒株,"['重大突破', '流感疫苗', '病毒', '已知']"
54,54,Gartner：預估明年半導體營收跌破 6 千億美元，衰退 3.6%,"['預估', '半導體', '營收', '千億', '.%', '衰退', '跌破', '美元', '明年']"
55,55,全球唯二會跳動心肌層片，台灣醫療科技展首度亮相,"['唯二會', '跳動', '層片', '台灣', '醫療', '科技展', '心肌', '首度', '亮相', '全球']"
56,56,美中爭霸築科技牆，中研院士：關鍵產業可能走雙軌制,"['美中爭', '霸築', '中研院', '關鍵', '產業', '走雙', '軌制', '科技', '可能']"
57,57,借鏡歐盟「數位護照」，台灣大助推智慧循環，25.7 萬支手機延長生命週期,"['借鏡', '歐盟', '數位', '護照', '台灣', '循環', '萬支', '手機', '延長', '週期', '助推', '智慧', '生命']"
58,58,三大台股高息 ETF 易漲抗跌！00919、0056、00878 比一比,"['三大台', '易漲', '比一比', '高息', '抗跌']"
59,59,支援英國冬季供電，196MWh 歐洲最大儲能廠上線,"['英國', '供電', '歐洲', '儲能', '上線', '支援', '冬季', '最大']"
60,60,南韓人口至本世紀末恐腰斬，韓央行總裁籲推動結構性改革,"['南韓', '至本', '世紀末', '恐腰', '總裁籲', '推動', '結構', '央行', '改革', '人口']"
61,61,國內媒體與數位平台業者分潤，政府促成首場對話 29 日登場,"['國內', '媒體', '數位', '業者', '分潤', '首場', '日登場', '促成', '平台', '政府']"
62,62,億光再控瑞眾、亮麗星專利侵權，求償 1 億元,"['億光', '控瑞眾', '亮麗星', '專利', '侵權', '求償', '億元']"
63,63,啟動「永續光廊」，默克、群創聯手打造全台最大液晶智慧窗,"['默克', '啟動', '永續', '光廊', '群創', '聯手', '液晶', '智慧', '打造', '最大']"
64,64,伯特光上櫃首日漲幅逾 20%！VR 及車用鏡頭需求成長可期,"['伯特光', '上櫃', '漲幅', '及車', '鏡頭', '成長', '可期', '首日', '需求']"
65,65,華爾街日報：美國援烏抗俄，對台軍售延遲交貨情況惡化,"['華爾街', '日報', '美國援', '烏抗', '對台', '軍售', '延遲', '交貨', '情況', '惡化']"
66,66,Twitter 恐被兩大應用程式平台下架，馬斯克：我就打造自己的手機,"['兩大應', '下架', '手機', '程式', '斯克', '打造', '平台', '自己']"
67,67,中國京滬等地爆發民眾抗爭，要求下架「清零政策」,"['清零', '中國京滬', '發民眾', '抗爭', '下架', '要求', '政策']"
68,68,內馬爾世界盃拚提前復出，傳用 NASA 技術療傷,"['內馬爾', '傳用', '技術', '療傷', '提前', '世界']"
69,69,做空大神 Chanos 預測特斯拉獲利下滑，需求已到天花板,"['做空', '預測', '獲利', '特斯拉', '大神', '天花板', '已到', '下滑', '需求']"
70,70,日本薄型電視出貨量再陷萎縮，逾 2 年半來新低,"['電視出', '貨量', '再陷', '萎縮', '年半來', '薄型', '新低', '日本']"
71,71,專題》戰爭、地震或殭屍病毒：災難來臨時緊急備用的科技產品該是什麼？,"['專題', '戰爭', '災難來', '臨時', '緊急備', '產品', '病毒', '地震', '科技']"
72,72,專題》常規與不對稱作戰：烏克蘭和台灣防衛需求差異,"['專題', '常規', '作戰', '烏克蘭', '台灣', '防衛', '差異', '需求']"
73,73,專題》拚國防自主，哪些廠商已躋身軍工產業,"['專題', '拚國防', '廠商', '躋身', '工產業', '自主']"
74,74,專題》外購與自製：台灣強化國防的難題,"['專題', '外購', '台灣', '強化', '國防', '難題']"
